date,score
2008-09-09,6.042
2008-09-10,6.028
2008-09-11,6.02
2008-09-12,6.028
2008-09-13,6.035
2008-09-14,6.04
2008-09-15,6.004
2008-09-16,6.011
2008-09-17,6.02
2008-09-18,6.034
2008-09-19,6.063
2008-09-20,6.081
2008-09-21,6.066
2008-09-22,6.031
2008-09-23,6.01
2008-09-24,6.007
2008-09-25,6.011
2008-09-26,5.991
2008-09-27,6.041
2008-09-28,6.042
2008-09-29,5.964
2008-09-30,5.998
2008-10-01,6.01
2008-10-02,5.993
2008-10-03,6.017
2008-10-04,6.068
2008-10-05,6.06
2008-10-06,6.004
2008-10-07,5.973
2008-10-08,6.005
2008-10-09,6.023
2008-10-10,6.033
2008-10-11,6.064
2008-10-12,6.058
2008-10-13,6.03
2008-10-14,6.016
2008-10-15,6.005
2008-10-16,6.012
2008-10-17,6.057
2008-10-18,6.073
2008-10-19,6.069
2008-10-20,6.028
2008-10-21,6.026
2008-10-22,6.03
2008-10-23,6.031
2008-10-24,6.044
2008-10-25,6.07
2008-10-26,6.064
2008-10-27,6.019
2008-10-28,6.027
2008-10-29,6.031
2008-10-30,6.034
2008-10-31,6.065
2008-11-01,6.074
2008-11-02,6.067
2008-11-03,6.024
2008-11-04,6.03
2008-11-05,6.055
2008-11-06,6.052
2008-11-07,6.074
2008-11-08,6.097
2008-11-09,6.099
2008-11-10,6.059
2008-11-11,6.065
2008-11-12,6.061
2008-11-13,6.042
2008-11-14,6.075
2008-11-15,6.088
2008-11-16,6.086
2008-11-17,6.049
2008-11-18,6.052
2008-11-19,6.056
2008-11-20,6.061
2008-11-21,6.085
2008-11-22,6.109
2008-11-23,6.103
2008-11-24,6.067
2008-11-25,6.076
2008-11-26,6.085
2008-11-27,6.193
2008-11-28,6.079
2008-11-29,6.093
2008-11-30,6.086
2008-12-01,6.058
2008-12-02,6.054
2008-12-03,6.063
2008-12-04,6.065
2008-12-05,6.086
2008-12-06,6.118
2008-12-07,6.109
2008-12-08,6.06
2008-12-09,6.052
2008-12-10,6.065
2008-12-11,6.066
2008-12-12,6.087
2008-12-13,6.121
2008-12-14,6.104
2008-12-15,6.065
2008-12-16,6.064
2008-12-17,6.064
2008-12-18,6.047
2008-12-19,6.089
2008-12-20,6.13
2008-12-21,6.119
2008-12-22,6.093
2008-12-23,6.116
2008-12-24,6.255
2008-12-25,6.376
2008-12-26,6.147
2008-12-27,6.094
2008-12-28,6.081
2008-12-29,6.073
2008-12-30,6.079
2008-12-31,6.151
2009-01-01,6.193
2009-01-02,6.086
2009-01-03,6.072
2009-01-04,6.067
2009-01-05,6.051
2009-01-06,6.044
2009-01-07,6.041
2009-01-08,6.037
2009-01-09,6.062
2009-01-10,6.084
2009-01-11,6.081
2009-01-12,6.048
2009-01-13,6.052
2009-01-14,6.039
2009-01-15,6.034
2009-01-16,6.063
2009-01-17,6.092
2009-01-18,6.086
2009-01-19,6.07
2009-01-20,6.065
2009-01-21,6.036
2009-01-22,6.043
2009-01-23,6.07
2009-01-24,6.085
2009-01-25,6.093
2009-01-26,6.056
2009-01-27,6.04
2009-01-28,6.027
2009-01-29,6.041
2009-01-30,6.07
2009-01-31,6.087
2009-02-01,6.085
2009-02-02,6.045
2009-02-03,6.04
2009-02-04,6.038
2009-02-05,6.036
2009-02-06,6.066
2009-02-07,6.087
2009-02-08,6.082
2009-02-09,6.037
2009-02-10,6.033
2009-02-11,6.04
2009-02-12,6.052
2009-02-13,6.078
2009-02-14,6.167
2009-02-15,6.098
2009-02-16,6.06
2009-02-17,6.041
2009-02-18,6.037
2009-02-19,6.044
2009-02-20,6.074
2009-02-21,6.089
2009-02-22,6.08
2009-02-23,6.051
2009-02-24,6.04
2009-02-25,6.036
2009-02-26,6.042
2009-02-27,6.073
2009-02-28,6.088
2009-03-01,6.08
2009-03-02,6.049
2009-03-03,6.039
2009-03-04,6.053
2009-03-05,6.059
2009-03-06,6.088
2009-03-07,6.099
2009-03-08,6.081
2009-03-09,6.06
2009-03-10,6.052
2009-03-11,6.053
2009-03-12,6.062
2009-03-13,6.09
2009-03-14,6.102
2009-03-15,6.095
2009-03-16,6.077
2009-03-17,6.107
2009-03-18,6.052
2009-03-19,6.047
2009-03-20,6.057
2009-03-21,6.105
2009-03-22,6.091
2009-03-23,6.059
2009-03-24,6.06
2009-03-25,6.063
2009-03-26,6.058
2009-03-27,6.085
2009-03-28,6.101
2009-03-29,6.095
2009-03-30,6.063
2009-03-31,6.029
2009-04-01,6.046
2009-04-02,6.072
2009-04-03,6.103
2009-04-04,6.108
2009-04-05,6.101
2009-04-06,6.065
2009-04-07,6.067
2009-04-08,6.072
2009-04-09,6.083
2009-04-10,6.118
2009-04-11,6.123
2009-04-12,6.188
2009-04-13,6.071
2009-04-14,6.075
2009-04-15,6.061
2009-04-16,6.081
2009-04-17,6.111
2009-04-18,6.123
2009-04-19,6.109
2009-04-20,6.084
2009-04-21,6.079
2009-04-22,6.088
2009-04-23,6.083
2009-04-24,6.112
2009-04-25,6.103
2009-04-26,6.08
2009-04-27,6.018
2009-04-28,6.015
2009-04-29,6.012
2009-04-30,6.011
2009-05-01,6.07
2009-05-02,6.087
2009-05-03,6.082
2009-05-04,6.054
2009-05-05,6.059
2009-05-06,6.072
2009-05-07,6.086
2009-05-08,6.107
2009-05-09,6.095
2009-05-10,6.095
2009-05-11,6.084
2009-05-12,6.068
2009-05-13,6.036
2009-05-14,6.009
2009-05-15,6.014
2009-05-16,6.014
2009-05-17,6.014
2009-05-18,6.014
2009-05-19,6.014
2009-05-20,6.015
2009-05-21,6.062
2009-05-22,6.096
2009-05-23,6.105
2009-05-24,6.107
2009-05-25,6.098
2009-05-26,6.057
2009-05-27,6.065
2009-05-28,6.081
2009-05-29,6.106
2009-05-30,6.114
2009-05-31,6.095
2009-06-01,6.071
2009-06-02,6.075
2009-06-03,6.078
2009-06-04,6.076
2009-06-05,6.105
2009-06-06,6.109
2009-06-07,6.098
2009-06-08,6.073
2009-06-09,6.059
2009-06-10,6.057
2009-06-11,6.05
2009-06-12,6.094
2009-06-13,6.092
2009-06-14,6.086
2009-06-15,6.066
2009-06-16,6.058
2009-06-17,6.065
2009-06-18,6.067
2009-06-19,6.092
2009-06-20,6.077
2009-06-21,6.147
2009-06-22,6.053
2009-06-23,6.052
2009-06-24,6.054
2009-06-25,5.935
2009-06-26,6.032
2009-06-27,6.085
2009-06-28,6.041
2009-06-29,6.054
2009-06-30,6.059
2009-07-01,6.076
2009-07-02,6.078
2009-07-03,6.105
2009-07-04,6.157
2009-07-05,6.093
2009-07-06,6.06
2009-07-07,6.035
2009-07-08,6.057
2009-07-09,6.074
2009-07-10,6.097
2009-07-11,6.088
2009-07-12,6.083
2009-07-13,6.068
2009-07-14,6.077
2009-07-15,6.066
2009-07-16,6.07
2009-07-17,6.079
2009-07-18,6.094
2009-07-19,6.1
2009-07-20,6.079
2009-07-21,6.071
2009-07-22,6.072
2009-07-23,6.06
2009-07-24,6.082
2009-07-25,6.095
2009-07-26,6.083
2009-07-27,6.069
2009-07-28,6.064
2009-07-29,6.061
2009-07-30,6.085
2009-07-31,6.086
2009-08-01,6.081
2009-08-02,6.089
2009-08-06,6.042
2009-08-07,6.079
2009-08-08,6.083
2009-08-09,6.062
2009-08-10,6.065
2009-08-11,6.067
2009-08-12,6.066
2009-08-13,6.067
2009-08-14,6.093
2009-08-15,6.106
2009-08-16,6.082
2009-08-17,6.07
2009-08-18,6.06
2009-08-19,6.066
2009-08-20,6.072
2009-08-21,6.084
2009-08-22,6.105
2009-08-23,6.095
2009-08-24,6.072
2009-08-25,6.071
2009-08-26,6.063
2009-08-27,6.073
2009-08-28,6.083
2009-08-29,6.088
2009-08-30,6.086
2009-08-31,6.074
2009-09-01,6.072
2009-09-02,6.067
2009-09-03,6.065
2009-09-04,6.102
2009-09-05,6.103
2009-09-06,6.095
2009-09-07,6.09
2009-09-08,6.072
2009-09-09,6.073
2009-09-10,6.069
2009-09-11,6.076
2009-09-12,6.082
2009-09-13,6.042
2009-09-14,6.018
2009-09-15,6.043
2009-09-16,6.075
2009-09-17,6.061
2009-09-18,6.099
2009-09-19,6.092
2009-09-20,6.075
2009-09-21,6.066
2009-09-22,6.059
2009-09-23,6.064
2009-09-24,6.065
2009-09-25,6.095
2009-09-26,6.082
2009-09-27,6.068
2009-09-28,6.056
2009-09-29,6.045
2009-09-30,6.052
2009-10-01,6.066
2009-10-02,6.094
2009-10-03,6.087
2009-10-04,6.072
2009-10-05,6.055
2009-10-06,6.058
2009-10-07,6.036
2009-10-08,6.057
2009-10-09,6.112
2009-10-10,6.089
2009-10-11,6.072
2009-10-12,6.062
2009-10-13,6.057
2009-10-14,6.054
2009-10-15,6.054
2009-10-16,6.079
2009-10-17,6.075
2009-10-18,6.052
2009-10-19,6.053
2009-10-20,6.048
2009-10-21,6.049
2009-10-22,6.046
2009-10-23,6.083
2009-10-24,6.069
2009-10-25,6.058
2009-10-26,6.058
2009-10-27,6.047
2009-10-28,6.049
2009-10-29,6.049
2009-10-30,6.084
2009-10-31,6.104
2009-11-01,6.064
2009-11-02,6.06
2009-11-03,6.046
2009-11-04,6.056
2009-11-05,6.053
2009-11-06,6.074
2009-11-07,6.07
2009-11-08,6.064
2009-11-09,6.059
2009-11-10,6.058
2009-11-11,6.078
2009-11-12,6.113
2009-11-13,6.098
2009-11-14,6.085
2009-11-15,6.066
2009-11-16,6.069
2009-11-17,6.068
2009-11-18,6.069
2009-11-19,6.056
2009-11-20,6.095
2009-11-21,6.087
2009-11-22,6.08
2009-11-23,6.077
2009-11-24,6.078
2009-11-25,6.126
2009-11-26,6.243
2009-11-27,6.121
2009-11-28,6.095
2009-11-29,6.086
2009-11-30,6.08
2009-12-01,6.075
2009-12-02,6.066
2009-12-03,6.084
2009-12-04,6.101
2009-12-05,6.098
2009-12-06,6.089
2009-12-07,6.081
2009-12-08,6.07
2009-12-09,6.072
2009-12-10,6.079
2009-12-11,6.113
2009-12-12,6.107
2009-12-13,6.092
2009-12-14,6.082
2009-12-15,6.076
2009-12-16,6.081
2009-12-17,6.081
2009-12-18,6.112
2009-12-21,6.09
2009-12-22,6.102
2009-12-23,6.122
2009-12-24,6.259
2009-12-25,6.343
2009-12-26,6.123
2009-12-27,6.072
2009-12-28,6.071
2009-12-29,6.06
2009-12-30,6.059
2009-12-31,6.174
2010-01-01,6.179
2010-01-02,6.079
2010-01-03,6.045
2010-01-04,6.053
2010-01-05,6.041
2010-01-06,6.049
2010-01-07,6.043
2010-01-08,6.067
2010-01-09,6.063
2010-01-10,6.06
2010-01-11,6.052
2010-01-12,6.044
2010-01-13,6.039
2010-01-14,6.047
2010-01-15,6.085
2010-01-16,6.079
2010-01-17,6.077
2010-01-18,6.07
2010-01-19,6.041
2010-01-20,6.053
2010-01-21,6.057
2010-01-22,6.085
2010-01-23,6.083
2010-01-24,6.059
2010-01-25,6.064
2010-01-26,6.051
2010-01-27,6.064
2010-01-28,6.055
2010-01-29,6.087
2010-01-30,6.073
2010-01-31,6.065
2010-02-01,6.065
2010-02-02,6.048
2010-02-03,6.063
2010-02-04,6.06
2010-02-05,6.081
2010-02-06,6.081
2010-02-07,6.094
2010-02-08,6.064
2010-02-09,6.046
2010-02-10,6.04
2010-02-11,6.056
2010-02-12,6.098
2010-02-13,6.107
2010-02-14,6.186
2010-02-15,6.078
2010-02-16,6.059
2010-02-17,6.05
2010-02-18,6.052
2010-02-19,6.086
2010-02-20,6.089
2010-02-21,6.08
2010-02-22,6.064
2010-02-23,6.053
2010-02-24,6.048
2010-02-25,6.053
2010-02-26,6.078
2010-02-27,6.036
2010-02-28,6.08
2010-03-01,6.07
2010-03-02,6.048
2010-03-03,6.054
2010-03-04,6.064
2010-03-05,6.096
2010-03-06,6.094
2010-03-07,6.082
2010-03-08,6.07
2010-03-09,6.058
2010-03-10,6.056
2010-03-11,6.06
2010-03-12,6.09
2010-03-13,6.084
2010-03-14,6.067
2010-03-15,6.063
2010-03-16,6.061
2010-03-17,6.076
2010-03-18,6.063
2010-03-19,6.095
2010-03-20,6.08
2010-03-21,6.059
2010-03-22,6.057
2010-03-23,6.055
2010-03-24,6.06
2010-03-25,6.065
2010-03-26,6.095
2010-03-27,6.052
2010-03-28,6.076
2010-03-29,6.031
2010-03-30,6.056
2010-03-31,6.06
2010-04-01,6.07
2010-04-02,6.105
2010-04-03,6.106
2010-04-04,6.126
2010-04-05,6.069
2010-04-06,6.059
2010-04-07,6.061
2010-04-08,6.068
2010-04-09,6.1
2010-04-10,6.083
2010-04-11,6.077
2010-04-12,6.068
2010-04-13,6.066
2010-04-14,6.065
2010-04-15,6.062
2010-04-16,6.089
2010-04-17,6.085
2010-04-18,6.065
2010-04-19,6.059
2010-04-20,6.063
2010-04-21,6.071
2010-04-22,6.072
2010-04-23,6.09
2010-04-24,6.086
2010-04-25,6.071
2010-04-26,6.057
2010-04-27,6.056
2010-04-28,6.058
2010-04-29,6.059
2010-04-30,6.095
2010-05-01,6.078
2010-05-02,6.061
2010-05-03,6.053
2010-05-04,6.046
2010-05-05,6.062
2010-05-06,6.052
2010-05-07,6.091
2010-05-08,6.104
2010-05-09,6.173
2010-05-10,6.047
2010-05-11,6.049
2010-05-12,6.061
2010-05-13,6.063
2010-05-14,6.084
2010-05-15,6.085
2010-05-16,6.074
2010-05-17,6.054
2010-05-18,6.054
2010-05-19,6.064
2010-05-20,6.07
2010-05-21,6.095
2010-05-22,6.087
2010-05-23,6.055
2010-05-24,6.034
2010-05-25,6.056
2010-05-26,6.064
2010-05-27,6.066
2010-05-28,6.085
2010-05-29,6.086
2010-05-30,6.083
2010-05-31,6.056
2010-06-01,6.063
2010-06-02,6.064
2010-06-03,6.062
2010-06-04,6.089
2010-06-05,6.085
2010-06-06,6.07
2010-06-07,6.068
2010-06-08,6.056
